,service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
0,1220_122001_20251002,0,1,0,0,0,0,0,20251002,20260103
1,1220_122002_20251002,0,0,1,0,0,0,0,20251002,20260103
2,1220_122003_20251002,0,0,0,1,0,0,0,20251002,20260103
3,1220_122004_20251002,0,0,0,0,1,0,0,20251002,20260103
4,1220_122005_20251002,0,0,0,0,0,1,0,20251002,20260103
5,1220_122006_20251002,0,0,0,0,0,0,1,20251002,20260103
6,1220_122007_20251002,1,0,0,0,0,0,0,20251002,20260103
7,1271_127101_20251002,0,1,0,0,0,0,0,20251002,20260103
8,1271_127102_20251002,0,0,1,0,0,0,0,20251002,20260103
9,1271_127103_20251002,0,0,0,1,0,0,0,20251002,20260103
10,1271_127104_20251002,0,0,0,0,1,0,0,20251002,20260103
11,1271_127105_20251002,0,0,0,0,0,1,0,20251002,20260103
12,1271_127106_20251002,0,0,0,0,0,0,1,20251002,20260103
13,1271_127107_20251002,1,0,0,0,0,0,0,20251002,20260103
14,1272_127201_20251002,0,1,1,1,1,1,0,20251002,20260103
15,1272_127206_20251002,0,0,0,0,0,0,1,20251002,20260103
16,1272_127207_20251002,1,0,0,0,0,0,0,20251002,20260103
17,1280_128001_20251002,0,1,0,0,0,0,0,20251002,20260103
18,1280_128002_20251002,0,0,1,0,0,0,0,20251002,20260103
19,1280_128003_20251002,0,0,0,1,0,0,0,20251002,20260103
20,1280_128004_20251002,0,0,0,0,1,0,0,20251002,20260103
21,1280_128005_20251002,0,0,0,0,0,1,0,20251002,20260103
22,1280_128006_20251002,0,0,0,0,0,0,1,20251002,20260103
23,1280_128007_20251002,1,0,0,0,0,0,0,20251002,20260103
24,1282_128201_20251002,0,1,0,0,0,0,0,20251002,20260103
25,1282_128202_20251002,0,0,1,0,0,0,0,20251002,20260103
26,1282_128203_20251002,0,0,0,1,0,0,0,20251002,20260103
27,1282_128204_20251002,0,0,0,0,1,0,0,20251002,20260103
28,1282_128205_20251002,0,0,0,0,0,1,0,20251002,20260103
29,1282_128206_20251002,0,0,0,0,0,0,1,20251002,20260103
30,1282_128207_20251002,1,0,0,0,0,0,0,20251002,20260103
31,1285_128501_20251002,0,1,0,0,0,0,0,20251002,20260103
32,1285_128502_20251002,0,0,1,0,0,0,0,20251002,20260103
33,1285_128503_20251002,0,0,0,1,0,0,0,20251002,20260103
34,1285_128504_20251002,0,0,0,0,1,0,0,20251002,20260103
35,1285_128505_20251002,0,0,0,0,0,1,0,20251002,20260103
36,1285_128506_20251002,0,0,0,0,0,0,1,20251002,20260103
37,1285_128507_20251002,1,0,0,0,0,0,0,20251002,20260103
38,1999_199901_20251002,0,1,0,0,0,0,0,20251002,20260103
39,1999_199902_20251002,0,0,1,0,0,0,0,20251002,20260103
40,1999_199903_20251002,0,0,0,1,0,0,0,20251002,20260103
41,1999_199904_20251002,0,0,0,0,1,0,0,20251002,20260103
42,1999_199905_20251002,0,0,0,0,0,1,0,20251002,20260103
43,1999_199906_20251002,0,0,0,0,0,0,1,20251002,20260103
44,1999_199907_20251002,1,0,0,0,0,0,0,20251002,20260103
45,7210_721001_20251002,0,1,0,0,0,0,0,20251002,20260103
46,7210_721002_20251002,0,0,1,0,0,0,0,20251002,20260103
47,7210_721003_20251002,0,0,0,1,0,0,0,20251002,20260103
48,7210_721004_20251002,0,0,0,0,1,0,0,20251002,20260103
49,7210_721005_20251002,0,0,0,0,0,1,0,20251002,20260103
50,7210_721006_20251002,0,0,0,0,0,0,1,20251002,20260103
51,7210_721007_20251002,1,0,0,0,0,0,0,20251002,20260103
52,7214_721401_20251002,0,1,0,0,0,0,0,20251002,20260103
53,7214_721402_20251002,0,0,1,0,0,0,0,20251002,20260103
54,7214_721403_20251002,0,0,0,1,0,0,0,20251002,20260103
55,7214_721404_20251002,0,0,0,0,1,0,0,20251002,20260103
56,7214_721405_20251002,0,0,0,0,0,1,0,20251002,20260103
57,7214_721406_20251002,0,0,0,0,0,0,1,20251002,20260103
58,7214_721407_20251002,1,0,0,0,0,0,0,20251002,20260103
59,7270_727001_20251002,0,1,0,0,0,0,0,20251002,20260103
60,7270_727002_20251002,0,0,1,0,0,0,0,20251002,20260103
61,7270_727003_20251002,0,0,0,1,0,0,0,20251002,20260103
62,7270_727004_20251002,0,0,0,0,1,0,0,20251002,20260103
63,7270_727005_20251002,0,0,0,0,0,1,0,20251002,20260103
64,7270_727006_20251002,0,0,0,0,0,0,1,20251002,20260103
65,7270_727007_20251002,1,0,0,0,0,0,0,20251002,20260103
66,7272_727201_20251002,0,1,0,0,0,0,0,20251002,20260103
67,7272_727202_20251002,0,0,1,0,0,0,0,20251002,20260103
68,7272_727203_20251002,0,0,0,1,0,0,0,20251002,20260103
69,7272_727204_20251002,0,0,0,0,1,0,0,20251002,20260103
70,7272_727205_20251002,0,0,0,0,0,1,0,20251002,20260103
71,7272_727206_20251002,0,0,0,0,0,0,1,20251002,20260103
72,7272_727207_20251002,1,0,0,0,0,0,0,20251002,20260103
73,7273_727301_20251002,0,1,0,0,0,0,0,20251002,20260103
74,7273_727302_20251002,0,0,1,0,0,0,0,20251002,20260103
75,7273_727303_20251002,0,0,0,1,0,0,0,20251002,20260103
76,7273_727304_20251002,0,0,0,0,1,0,0,20251002,20260103
77,7273_727305_20251002,0,0,0,0,0,1,0,20251002,20260103
78,7273_727306_20251002,0,0,0,0,0,0,1,20251002,20260103
79,7273_727307_20251002,1,0,0,0,0,0,0,20251002,20260103
80,7274_727401_20251002,0,1,0,0,0,0,0,20251002,20260103
81,7274_727402_20251002,0,0,1,0,0,0,0,20251002,20260103
82,7274_727403_20251002,0,0,0,1,0,0,0,20251002,20260103
83,7274_727404_20251002,0,0,0,0,1,0,0,20251002,20260103
84,7274_727405_20251002,0,0,0,0,0,1,0,20251002,20260103
85,7274_727406_20251002,0,0,0,0,0,0,1,20251002,20260103
86,7274_727407_20251002,1,0,0,0,0,0,0,20251002,20260103
87,7275_727501_20251002,0,1,0,0,0,0,0,20251002,20260103
88,7275_727502_20251002,0,0,1,0,0,0,0,20251002,20260103
89,7275_727503_20251002,0,0,0,1,0,0,0,20251002,20260103
90,7275_727504_20251002,0,0,0,0,1,0,0,20251002,20260103
91,7275_727505_20251002,0,0,0,0,0,1,0,20251002,20260103
92,7275_727506_20251002,0,0,0,0,0,0,1,20251002,20260103
93,7275_727507_20251002,1,0,0,0,0,0,0,20251002,20260103
94,7276_727601_20251002,0,1,0,0,0,0,0,20251002,20260103
95,7276_727602_20251002,0,0,1,0,0,0,0,20251002,20260103
96,7276_727603_20251002,0,0,0,1,0,0,0,20251002,20260103
97,7276_727604_20251002,0,0,0,0,1,0,0,20251002,20260103
98,7276_727605_20251002,0,0,0,0,0,1,0,20251002,20260103
99,7276_727606_20251002,0,0,0,0,0,0,1,20251002,20260103
100,7276_727607_20251002,1,0,0,0,0,0,0,20251002,20260103
101,7277_727701_20251002,0,1,1,1,1,1,0,20251002,20260103
102,7277_727706_20251002,0,0,0,0,0,0,1,20251002,20260103
103,7277_727707_20251002,1,0,0,0,0,0,0,20251002,20260103
104,7278_727801_20251002,0,1,0,0,0,0,0,20251002,20260103
105,7278_727802_20251002,0,0,1,0,0,0,0,20251002,20260103
106,7278_727803_20251002,0,0,0,1,0,0,0,20251002,20260103
107,7278_727804_20251002,0,0,0,0,1,0,0,20251002,20260103
108,7278_727805_20251002,0,0,0,0,0,1,0,20251002,20260103
109,7278_727806_20251002,0,0,0,0,0,0,1,20251002,20260103
110,7278_727807_20251002,1,0,0,0,0,0,0,20251002,20260103
111,7280_728001_20251002,0,1,0,0,0,0,0,20251002,20260103
112,7280_728002_20251002,0,0,1,0,0,0,0,20251002,20260103
113,7280_728003_20251002,0,0,0,1,0,0,0,20251002,20260103
114,7280_728004_20251002,0,0,0,0,1,0,0,20251002,20260103
115,7280_728005_20251002,0,0,0,0,0,1,0,20251002,20260103
116,7280_728006_20251002,0,0,0,0,0,0,1,20251002,20260103
117,7280_728007_20251002,1,0,0,0,0,0,0,20251002,20260103
118,7284_728401_20251002,0,1,0,0,0,0,0,20251002,20260103
119,7284_728402_20251002,0,0,1,0,0,0,0,20251002,20260103
120,7284_728403_20251002,0,0,0,1,0,0,0,20251002,20260103
121,7284_728404_20251002,0,0,0,0,1,0,0,20251002,20260103
122,7284_728405_20251002,0,0,0,0,0,1,0,20251002,20260103
123,7284_728406_20251002,0,0,0,0,0,0,1,20251002,20260103
124,7284_728407_20251002,1,0,0,0,0,0,0,20251002,20260103
125,7286_728601_20251002,0,1,0,0,0,0,0,20251002,20260103
126,7286_728602_20251002,0,0,1,0,0,0,0,20251002,20260103
127,7286_728603_20251002,0,0,0,1,0,0,0,20251002,20260103
128,7286_728604_20251002,0,0,0,0,1,0,0,20251002,20260103
129,7286_728605_20251002,0,0,0,0,0,1,0,20251002,20260103
130,7286_728606_20251002,0,0,0,0,0,0,1,20251002,20260103
131,7286_728607_20251002,1,0,0,0,0,0,0,20251002,20260103
132,7287_728701_20251002,0,1,0,0,0,0,0,20251002,20260103
133,7287_728702_20251002,0,0,1,0,0,0,0,20251002,20260103
134,7287_728703_20251002,0,0,0,1,0,0,0,20251002,20260103
135,7287_728704_20251002,0,0,0,0,1,0,0,20251002,20260103
136,7287_728705_20251002,0,0,0,0,0,1,0,20251002,20260103
137,7287_728706_20251002,0,0,0,0,0,0,1,20251002,20260103
138,7287_728707_20251002,1,0,0,0,0,0,0,20251002,20260103
139,7288_728801_20251002,0,1,1,1,1,1,0,20251002,20260103
140,7288_728806_20251002,0,0,0,0,0,0,1,20251002,20260103
141,7288_728807_20251002,1,0,0,0,0,0,0,20251002,20260103
142,1_1_20251001,0,1,1,1,1,0,0,20251001,20260103
143,1_2_20251001,0,0,0,0,0,0,1,20251001,20260103
144,1_3_20251001,1,0,0,0,0,0,0,20251001,20260103
145,1_11_20251001,0,0,0,0,0,1,0,20251001,20260103
146,11_1_20251001,0,1,1,1,1,1,0,20251001,20260119
147,11_4_20251001,0,0,0,0,0,0,1,20251001,20260119
148,11_7_20251001,1,0,0,0,0,0,0,20251001,20260119
149,12_2_20251001,0,1,1,1,1,1,0,20251001,20260119
150,12_5_20251001,0,0,0,0,0,0,1,20251001,20260119
151,12_8_20251001,1,0,0,0,0,0,0,20251001,20260119
152,13_3_20251001,0,1,1,1,1,1,0,20251001,20260119
153,13_6_20251001,0,0,0,0,0,0,1,20251001,20260119
154,13_9_20251001,1,0,0,0,0,0,0,20251001,20260119
155,1_1_20251002,0,1,1,1,1,0,0,20251002,20260110
156,1_2_20251002,0,0,0,0,0,0,1,20251002,20260110
157,1_3_20251002,1,0,0,0,0,0,0,20251002,20260110
158,1_4_20251002,0,0,0,0,0,1,0,20251002,20260110
